patient_id,tile_id,tile_row,tile_col,tile_purity,n_spots,FMRP_signature_score,Cell_cycle_signature_score,YAP_signature_score,WNT_signature_score,EMT_signature_score,x_min_fullres,y_min_fullres,x_max_fullres,y_max_fullres,FMRP_signature_score_binary,Cell_cycle_signature_score_binary,YAP_signature_score_binary,WNT_signature_score_binary,EMT_signature_score_binary
CH_L_278a,8-10,8,10,0.6509741253378327,178,0.028038479464902833,0.10120910385785943,0.3917615454016947,-0.03416887036566369,0.4637528544188482,25230,20184,27753,22707,0.0,0.0,0.0,0.0,1.0
CH_L_278a,8-11,8,11,0.710960955478361,191,0.07125903129579396,0.16034432743540955,0.3607721665358167,0.023738774868387345,0.4509792909697458,27753,20184,30276,22707,1.0,0.0,0.0,0.0,0.0
CH_L_278a,8-12,8,12,0.6498980093704777,192,0.06723527108491757,0.17708106344311736,0.34751952634899846,0.033681411787247394,0.44758795988787314,30276,20184,32799,22707,0.0,1.0,0.0,1.0,0.0
CH_L_278a,8-13,8,13,0.5562513458372579,184,0.07910747917633226,0.17515466789072773,0.319938082546525,0.03725020040949532,0.4999350033315794,32799,20184,35322,22707,1.0,1.0,0.0,1.0,1.0
CH_L_278a,8-14,8,14,0.5090848091078185,78,0.07062872071205825,0.11422883282629236,0.3113394768824288,0.04426520320170748,0.4775878173676901,35322,20184,37845,22707,1.0,0.0,0.0,1.0,1.0
CH_L_278a,9-10,9,10,0.6483677725781641,178,0.0498935047195709,0.12816179398275837,0.360251412258796,-0.005677124809578897,0.49878744583232143,25230,22707,27753,25230,0.0,0.0,0.0,0.0,1.0
CH_L_278a,9-11,9,11,0.7415076763319335,190,0.09571108657253874,0.21648763185701522,0.3332012846942166,0.0600540237875655,0.459481627184747,27753,22707,30276,25230,1.0,1.0,0.0,1.0,0.0
CH_L_278a,9-12,9,12,0.42604486896185517,153,0.04782171723685737,0.16331000375823496,0.3493553523187357,0.02463586806654607,0.46785001832059714,30276,22707,32799,25230,0.0,0.0,0.0,0.0,1.0
CH_L_279a,10-12,10,12,0.3096247744545634,54,-0.06904382185439491,0.045626424632667646,0.4326634215383663,-0.11876453871826778,0.34355548361665605,29496,24580,31954,27038,0.0,0.0,1.0,0.0,0.0
CH_L_279a,10-9,10,9,0.4553628048484622,85,-0.04406245156299911,0.06510230497220164,0.35552553660424663,-0.015294401083666297,0.3811009198437008,22122,24580,24580,27038,0.0,0.0,0.0,0.0,0.0
